categoria,servizio,variante_o_fascia,prezzo_eur,unita,note,descrizione
meccanica_leggera,Tagliando,,,,senza prezzo su listino,Sostituzione olio motore e filtri; verifica livelli liquidi della vettura.
mezzi,Moto e scooter,,,,catalogo servizi; prezzi montaggio/riparazione nelle righe listino sotto,Vendita e montaggio pneumatici per scooter e moto.
mezzi,Trasporto leggero,,,,catalogo servizi; prezzi nelle righe listino vettura/TL,Vendita montaggio pneumatici e convergenza per furgoni e camper.
mezzi,Autocarro,,,,catalogo servizi; prezzi + IVA nelle righe listino sotto,Vendita montaggio e riparazione pneumatici per autocarri mezzi d'opera e mezzi agricoli.
mezzi,Carrelli elevatori,,,,senza prezzo su listino,Vendita e montaggio pneumatici per carrelli elevatori con pressa idraulica.
vettura_tl,Cambio gomme stagionale,fino a 15 pollici,8.75,a_gomma,,
vettura_tl,Cambio gomme stagionale,16-17 pollici,10.00,a_gomma,,
vettura_tl,Cambio gomme stagionale,18-19 pollici,11.25,a_gomma,,
vettura_tl,Cambio gomme stagionale,da 20 pollici in su e Trasporto Leggero,12.50,a_gomma,,
vettura_tl,Montaggio pneumatici nuovi,fino a 15 pollici,12.50,a_gomma,,
vettura_tl,Montaggio pneumatici nuovi,16-17 pollici,15.00,a_gomma,,
vettura_tl,Montaggio pneumatici nuovi,18-19 pollici,20.00,a_gomma,,
vettura_tl,Montaggio pneumatici nuovi,da 20 pollici in su e Trasporto Leggero,25.00,a_gomma,,
vettura_tl,Cambio gomme stagionale già su cerchio,fino a 17 pollici,3.75,a_gomma,,
vettura_tl,Cambio gomme stagionale già su cerchio,18-19 pollici,5.00,a_gomma,,
vettura_tl,Cambio gomme stagionale già su cerchio,da 20 pollici in su e Trasporto Leggero,6.25,a_gomma,,
vettura_tl,Deposito stagionale,fino a 17 pollici,3.00,a_gomma,,
vettura_tl,Deposito stagionale,18-19 pollici,3.75,a_gomma,,
vettura_tl,Deposito stagionale,da 20 pollici in su e Trasporto Leggero,5.00,a_gomma,,
vettura_tl,Equilibratura,fino a 17 pollici,3.75,a_gomma,,
vettura_tl,Equilibratura,18-19 pollici,5.00,a_gomma,,
vettura_tl,Equilibratura,da 20 pollici in su e Trasporto Leggero,5.00,a_gomma,,
vettura_tl,Gonfiaggio ad azoto,13-17 pollici,5.00,a_gomma,,
vettura_tl,Gonfiaggio ad azoto,18-19 pollici,7.50,a_gomma,,
vettura_tl,Gonfiaggio ad azoto,da 20 pollici e superiore,10.00,a_gomma,,
vettura_tl,Riparazione foratura con tampone,,12.00,a_gomma,,
vettura_tl,Riparazione foratura con rappezzo,,20.00,a_gomma,,
vettura_tl,Girogomme con equilibratura,,25.00,fisso,,
vettura_tl,Convergenza,fino a 17 pollici,30.00,fisso,,
vettura_tl,Convergenza,18-19 pollici,35.00,fisso,,
vettura_tl,Convergenza,da 20 pollici in su e Trasporto Leggero,40.00,fisso,,
vettura_tl,Soccorso stradale,entro 10 km,20.00,fisso,+1.00 EUR per km aggiuntivo,
vettura_tl,Ritiro e riconsegna auto,entro 10 km,20.00,fisso,+1.00 EUR per km aggiuntivo; allinea a Presa e riconsegna,
moto_scooter,Montaggio pneumatici usati,su cerchio,10.00,a_gomma,,
moto_scooter,Montaggio pneumatici,sul mezzo,25.00,a_gomma,,
moto_scooter,Riparazione foratura semplice,senza smontaggio ruota,12.00,a_gomma,,
moto_scooter,Riparazione foratura,con smontaggio ruota,20.00,a_gomma,,
autocarro,Riparazione foratura,,40.00,cad,+ IVA,
autocarro,Montaggio pneumatici,,20.00,cad,+ IVA,
autocarro,Girogomma su cerchio,,20.00,cad,+ IVA,
cerchi,Raddrizzatura cerchio,,40.00,cad,prezzo da (minimo indicato sul listino),
cerchi,Saldatura cerchio,,60.00,cad,prezzo da (minimo indicato sul listino),
cerchi,Rettifica e verniciatura diamantata,,120.00,cad,prezzo da (minimo indicato sul listino),
cerchi,Solo verniciatura,,80.00,cad,prezzo da (minimo indicato sul listino),
cerchi,Registrazione a libretto cerchi aftermarket NAD,,80.00,fisso,diametro diverso da carta di circolazione; da FAQ,
