region,city,address,code
lombardia,novate milanese,via amoretti (cc metropoli),NOVATE_VILLAGE
lombardia,orio al serio,via portico 71 (cc orio center),ORIO_VILLAGE
lombardia,pavia,via degli ordonni 10,PAVIA_ORDONNI
lombardia,sesto san giovanni,viale sarca (cc sarca),SESTO_VILLAGE
lombardia,varese,corso moro 3,VARESE_MORO
marche,ancona,corso garibaldi 35,ANCONA_GARIBALDI
marche,macerata,corso della repubblica 4,MACERATA_REPUBBLICA
piemonte,alessandria,via migliara 17,ALESSANDRIA_MIGLIARA
piemonte,biella,via italia 36,BIELLA_ITALIA
piemonte,grugliasco,via crevacuore (cc shopville le gru),GRUGLIASCO_VILLAGE
piemonte,torino,piazza castello 9,TORINO_CASTELLO
piemonte,torino,piazza cln 251,TORINO_CLN
piemonte,torino,stazione porta nuova,TORINO_PORTANUOVA
piemonte,torino,via nizza 262 (cc lingotto),TORINO_VILLAGE
puglia,bari,via melo 119,BARI_MELO
puglia,bari,via santa caterina (cc bari s. caterina),BARI_VILLAGE
puglia,casamassima,via alimentare (cc casamassima),CASAMASSIMA_VILLAGE
puglia,lecce,via templari 9,LECCE_TEMPLARI
sardegna,cagliari,via roma 173,CAGLIARI_ROMA
sardegna,olbia,aeroporto costa smeralda,OLBIA_EXPRESS
sardegna,quartucciu,via delle serre (cc le vele),QUARTUCCIU_VILLAGE
sicilia,catania,via etnea 283,CATANIA_ETNEA
sicilia,messina,via mazzini 35,MESSINA_MAZZINI
sicilia,misterbianco,corso carlo marx (cc centro sicilia),MISTERBIANCO_VILLAGE
sicilia,palermo,via maqueda 459,PALERMO_MAQUEDA
sicilia,palermo,via cavour 133,PALERMO_CAVOUR
toscana,arezzo,via garibaldi 107,AREZZO_POINT
toscana,firenze,via de' cerretani 40/r,FIRENZE_CERRETANI
toscana,firenze,piazza della stazione,FIRENZE_STAZIONE
toscana,firenze,piazza della repubblica 26,FIRENZE_RED
toscana,lucca,via beccheria 29,LUCCA_BECCHERIA
toscana,pisa,corso italia 50,PISA_ITALIA
toscana,pistoia,corso gramsci 31,PISTOIA_GRAMSCI
toscana,prato,via garibaldi 30,PRATO_GARIBALDI
toscana,siena,via banchi di sopra 64,SIENA_BANCHI
trentino-alto adige,trento,via mazzini 20,TRENTO_MAZZINI
umbria,perugia,corso vannucci 78,PERUGIA_VANNUCCI
veneto,marcon,via mattei (cc valecenter),MARCON_VILLAGE
veneto,padova,via san francesco 7,PADOVA_FRANCESCO
veneto,padova,via venezia (cc giotto),PADOVA_VILLAGE
veneto,treviso,via vico 1,TREVISO_VICO
veneto,venezia,mestre - piazza xxvii ottobre 1,VENEZIA_MESTRE
veneto,verona,via quattro spade 2,VERONA_SPADE
veneto,vicenza,corso palladio 12,VICENZA_PALLADIO
